Cancer Type,Source,Pool,Priority,NCT/TrialID,Title,Cancer in Title?,Study Type,Flagged Keyword(s),Phase,Status,Year,Sponsor,Enrollment,Randomized,Outcome text (for cognition check),INCLUDE? (Y/N),Measures cognition? (Y/N),Notes
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04536649,Proton and Heavy Ion Beam Radiation vs. Photon Beam Radiation for Newly Diagnosed Glioblastoma.,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MMSE; Cognitive Function (domain),PHASE3,UNKNOWN,2020,OTHER,369,Yes,"Overall Survival The interval from randomization to death | Progression-free Survival The interval from randomization to progression or death | Toxicities The scores of toxicities are based on CTCAE criteria, which refers to Common Terminology Criteria for Adverse Events. | Recognitive Function The ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02122042,Hyperbaric Oxygen Therapy Can Improve Cognitive Deficits Post Low Grade Glioma Removal Surgery,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),PHASE1,UNKNOWN,2014,OTHER_GOV,62,Yes,"Neurocognitive functions Cognitive function will be assessed using the one-hour Mindstreams Computerized Cognitive Test Battery at baseline, 3 months and 6 months to intervention. | Quality of Life Quality of live will be evaluated by the EQ-5D,SS-QOL ו SF36 , QLQ-BN20, questionnaires at baseline , ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00182819,Radiation Therapy or Temozolomide in Treating Patients With Gliomas,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MMSE,PHASE3,COMPLETED,2005,NETWORK,709,Yes,Progression-free survival  | Overall survival  | Quality of life as measured by QLQ-C30 v3.0 and EORTC BN-20  | Mini-Mental State Examination  | Adverse events as measured by CTCAE v3.0 ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04725214,Anlotinib Combined With STUPP for MGMT Nonmethylated Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),PHASE2,UNKNOWN,2021,OTHER,33,No,1-year OS 1-year overall survival | PFS Progression-Free Survival | OS Overall Survival | adverse event Adverse events are described in terms of CTC AE 5.0 | Health-related quality of life Health-related quality of life are measured by the EORTC-QL30/BN20 | Neurocognitive function Neurocognitive fun,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00978458,Radiation Therapy With or Without Temozolomide in Treating Patients With Low-Grade Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),PHASE3,ACTIVE_NOT_RECRUITING,2009,NETWORK,540,Yes,"Progression-free survival (PFS)  | Overall survival (OS)  | Quality of life as assessed by the FACT-BR questionnaire at baseline, annually until disease progression, and at the time of disease progression  | Neurocognitive functioning as assessed at baseline, annually until disease progression, and ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04119674,Pilot Study of Anlotinib With STUPP Regimen for Patients With Newly Diagnosed Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Function (domain),PHASE1/PHASE2,COMPLETED,2019,OTHER,33,No,PFS Progression-Free Survival | OS Overall Survival | adverse event Adverse events are described in terms of CTC AE 5.0 | Health-related quality of life Health-related quality of life are measured by the EORTC-QL30/BN20. | Neurocognitive function Neurocognitive function are measured by John-Hopkins ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01288235,Proton Radiotherapy for Pediatric Brain Tumors Requiring Partial Brain Irradiation,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),WAIS/WMS; Neurocognitive (domain),PHASE2,COMPLETED,2011,OTHER,100,No,Endocrine Dysfunction Cumulative incidence (estimated percentage participants) that developed endocrine dysfunction at 3- and 5-years following completion of proton radiation therapy. | Neurocognitive Sequelae The overall change in neurocognitive outcomes between treatment and last-follow-up as asse,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT03728673,A Study Utilizing Escitalopram in Glioma Patients,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE2,RECRUITING,2019,OTHER,20,No,Change in Cognition Changes in cognition will be measured using the NIH Toolbox neurocognitive assessments. The NIH Toolbox has excellent test / re-test reliability across composite domain scores r = .86 - .9263. It has also shown strong convergent (r = .78 - .9) and discriminant (r = .19 - .39) val,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02709226,Dose Escalation Trial of Re-irradiation in Good Prognosis Recurrent Glioblastoma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain),PHASE1,COMPLETED,2016,NIH,17,No,"To determine maximum tolerated re-irradiation dose (MTD). The MTD will be based on the assessment of DLT within one month following the re-irradiation, and will be defined as the dose level at which less than one-third of patients (0/3 or 0-1/6 patients) treated at that dose experience a DLT, with t",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05669820,Antisecretory Factor Glioblastoma Phase 2,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA; Cognitive Function (domain),PHASE2/PHASE3,RECRUITING,2024,OTHER,300,Yes,Overall survival Survival | Progress free survival at 6 and 12 months Progress free survival as a compound assessment by a multidisciplinary conference (MDC) | Cognitive function Assessed by Montreal Cognitive Assessment (MoCA) | Neurological function Assessed by Neurologic Assessment in Neuro-Oncol,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02303938,Effects of Exercise on Cognitive Function in Glioma Patients,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain); Cognitive Function (domain),NA,COMPLETED,2013,OTHER,60,Yes,cognitive function as measured by neuropsychological tests neuropsychological test battery will be administered to patients at baseline and immediately after the intervention at 6 months | Objective measures of physical fitness measured by cardiopulmonary exercise test (CPET) Intervention-related im,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01805453,"Angiotensin II Receptor Blockers, Steroids and Radiotherapy in Glioblastoma",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),MoCA,PHASE3,COMPLETED,2013,OTHER,80,Yes,Steroid dosage required to control brain edema on the last day of radiotherapy in each arm  | Steroids dosage 1 month after the end of RT  | Assessment of cerebral edema on MRI  | Tolerance (NCI-CTCAE v3.0) To be reported according to NCI/CTC version 3.0 (adverse events) | Blood pressure  | HbA1C  |,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT05727605,Neurocognition After Radiotherapy in CNS- and Skull-base Tumors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neurocognitive (domain); Cognitive Decline (domain),NA,RECRUITING,2023,OTHER,120,No,"Prevalence of neurocognitive decline (changes in z-scores) compared to baseline at one year post-radiotherapy, for all cognitive domains (memory, executive functioning, attention and language)  | Development of a Normal Tissue Complication Probability model (NTCP-model) for each cognitive domain (me",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT02623231,"The Effect of Escitalopram on Mood, Quality of Life and Cognitive Functioning in Glioblastoma Patients",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain); Cognitive Function (domain),PHASE2/PHASE3,UNKNOWN,2015,OTHER_GOV,100,Yes,changes in patients mood and cognitive function according to the neuropsychological assessment that includes patient health questionnaire (PHQ9) ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT06468176,Efficacy of a Mixed Distancial Neuropsychological Rehabilitation Program in Patients With Grade 2 or 3 Diffuse Glioma,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),FACT-Cog; Cognitive Function (domain); Cognitive Impairment (domain),NA,RECRUITING,2024,OTHER,187,Yes,"Score in the Perceived Cognitive Impairment (PCI) subscale of Functional Assessment of Cancer Therapy - Cognitive Function (FACT-Cog) questionnaire The FACT-Cog is a self-assessment questionnaire to estimate memory, attention, concentration, language, and thinking abilities of patients before, durin",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT00517959,SCRT Versus Conventional RT in Children and Young Adults With Low Grade and Benign Brain Tumors,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),Neuropsychological (domain),PHASE3,UNKNOWN,2001,OTHER_GOV,200,Yes,Incidence of neuropsychological and neuroendocrine function in the two arms  | Progression free and overall survival. ,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT01854554,Glioblastoma Multiforme (GBM) Proton vs. Intensity Modulated Radiotherapy (IMRT),Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R; TMT,PHASE2,COMPLETED,2013,OTHER,90,Yes,"Time to Cognitive Failure Time to cognitive failure on any of 6 primary variables from pre-specified cognitive tests (HVLT-R total recall, HVLT-R delayed recall, HVLT-R delayed recognition, TMT Part A or Part B, COWA) with failure defined as a decline that meets or exceeds the reliable change index ",Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04875975,"A Study to Test the Efficacy, Safety, and Pharmacokinetics of Rozanolixizumab in Adult Study Participants With Leucine-Rich Glioma Inactivated 1 Autoimmune Encephalitis",Yes,Interventional (confirmed via ClinicalTrials.gov API filter),RBANS; Neuropsychological (domain),PHASE2,TERMINATED,2021,INDUSTRY,12,Yes,Number of Seizure Free Study Participants at the End of the Treatment Seizure freedom was defined as a minimum of 28 consecutive days of no seizures of any type during the treatment and maintained until the end of the treatment (Week 25). | Change From Baseline in Repeatable Battery for the Assessme,Yes,Yes,
CNS,ClinicalTrials.gov,candidate,Easy - both flags green,NCT04752280,Glioblastoma Radiotherapy Using IMRT or Proton Beams,Yes,Interventional (confirmed via ClinicalTrials.gov API filter),HVLT-R; Neurocognitive (domain),NA,RECRUITING,2021,OTHER,326,Yes,Cumulative rate of toxicity Cumulative rate of toxicity ≥ grade 2 (until progress (max. month 4)) | Progression free survival Progression free survival | Overall survival Overall survival | Acute Toxicity according to CTC AE V5.0 | Late Toxicity according to CTC AE V5.0 | Quality of life according t,Yes,Yes,
