term,weight
metformin,9.683147187431118
medulloblastoma,9.492931493780695
intensive,8.723463309671155
seizures,7.686059078333211
stem,7.6732136726637465
proton,7.602002743199792
approach,7.426626778324218
kaplan,6.935518044428747
keyword_hit,6.464785474296473
hgg,6.321340162848334
earliest,6.142213047312228
low,6.023185158841987
idh,5.9423909330489995
rano,5.913584908557725
death,5.902812521997248
experienced,5.584837549330375
carried,5.056017287932303
defined,4.695468439326196
variability,4.547284199529144
comp,4.492706228179096
refractory,4.369953870892995
irradiation,4.290710052500575
types,4.153414681189333
alive,3.922060282488674
tabulated,3.5461445976797
unit,3.3950200629431686
neuro,3.242499285435611
participation,3.125646565899813
location,3.052131976560463
participants,2.8661972577017805
complaints,2.576581151553864
newly,2.2048329760297296
fet,2.1509618080162447
pediatric,2.030300430629121
hearing,1.9752839598652683
rt,1.5713749874633778
calculated,1.4055226151012215
hematological,1.2588567363036594
parameter,1.2582973133231192
censored,1.008129975369597
delivered,0.5873325140770588
evidence,0.5365637337025384
bev,0.44339769427213654
kps,0.3623452980018044
listed,0.18731408592869386
covering,0.17673475057318952
diagnostic,0.15606016400461128
karnofsky,0.13764269235104337
grade,0.0029384718548819467
response,-0.3073181737499554
br,-0.6926415904355139
objective,-1.1525067614595237
